concept_id,name,type,level,description,earliest_evidence_date,earliest_evidence_type,location,language,properties,research_status
ART0001,Visual_Arts,sub_root,2,Major category of visual arts,-40000,Archaeological,Global,Various,Major art form category,confirmed
ART0002,Paintings,branch,3,"Includes oil, acrylic, watercolor, fresco, and tempera paintings, spanning styles like realism, impressionism, abstract, and surrealism.",-40000,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0003,Sculpture,branch,3,"Encompasses three-dimensional works in materials like stone, metal, wood, clay, or mixed media, including styles like classical, modern, and kinetic.",-35000,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0004,Drawing,branch,3,"Covers techniques such as pencil, charcoal, ink, pastel, and digital drawing, including sketching, illustration, and technical drawing.",-40000,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0005,Printmaking,branch,3,"Includes methods like etching, lithography, screen printing, and woodblock printing for creating reproducible artworks.",200,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0006,Photography,branch,3,"Encompasses fine art photography, portraiture, landscape, street, and experimental photography, including analog and digital formats.",1826,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0007,Digital_Art,branch,3,"Includes digital painting, 3D modeling, animation, and generative art created using software or digital tools.",1960,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0008,Art,root,1,Creative expression through visual and auditory media,-40000,Cave paintings,Global,,Root concept of artistic creation,confirmed
ART0009,Mixed_Media,branch,3,"Combines multiple materials or mediums, such as collage, assemblage, or installations, to create hybrid artworks.",-5000,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0010,Installation_Art,branch,3,"Large-scale, site-specific works that transform spaces, often interactive or immersive, using various materials and technologies.",1950,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0011,Video_Art,branch,3,"Artworks using video as a medium, including experimental films, video installations, and multimedia performances.",1960,Historical,Global,Various,Subcategory of Visual Arts,confirmed
ART0012,Architecture,sub_root,2,Major category of architecture,-40000,Archaeological,Global,Various,Major art form category,confirmed
ART0013,Classical_Architecture,branch,3,"Encompasses Greek, Roman, and neoclassical styles, focusing on symmetry, columns, and proportion.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0014,Gothic_Architecture,branch,3,"Characterized by pointed arches, ribbed vaults, and flying buttresses, seen in medieval cathedrals.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0015,Renaissance_Architecture,branch,3,"Revives classical Greek and Roman principles, emphasizing harmony, perspective, and domes.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0016,Modern_Architecture,branch,3,"Includes styles like Bauhaus, International Style, and Brutalism, focusing on function, minimalism, and new materials.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0017,Postmodern_Architecture,branch,3,"Blends historical references with playful, eclectic designs, often incorporating irony or ornamentation.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0018,Sustainable_Architecture,branch,3,"Focuses on eco-friendly designs, using sustainable materials and energy-efficient systems.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0019,Cave_Paintings,sub_root,2,Painted images on cave walls,-40000,Lascaux caves,France,,Painted in France 40000 BC,confirmed
ART0020,Landscape_Architecture,branch,3,"Designs outdoor spaces, including parks, gardens, and urban planning, integrating natural and built environments.",-10000,Historical,Global,Various,Subcategory of Architecture,confirmed
ART0021,Performing_Arts,sub_root,2,Major category of performing arts,-40000,Archaeological,Global,Various,Major art form category,confirmed
ART0022,Music,branch,3,"Includes genres like classical, jazz, rock, pop, folk, electronic, and world music, covering composition, performance, and theory.",-40000,Historical,Global,Various,Subcategory of Performing Arts,confirmed
ART0023,Dance,branch,3,"Encompasses ballet, contemporary, jazz, tap, hip-hop, folk, and cultural dances like flamenco or Bharatanatyam.",-30000,Historical,Global,Various,Subcategory of Performing Arts,confirmed
ART0024,Theatre,branch,3,"Includes drama, comedy, musical theatre, experimental theatre, and forms like opera or puppetry.",-2500,Historical,Global,Various,Subcategory of Performing Arts,confirmed
ART0025,Performance_Art,branch,3,"Live art combining elements of visual art, theatre, and music, often addressing social or political themes.",1950,Historical,Global,Various,Subcategory of Performing Arts,confirmed
ART0026,Circus_Arts,branch,3,"Encompasses acrobatics, clowning, juggling, and aerial performances, blending physical skill and theatricality.",-5000,Historical,Global,Various,Subcategory of Performing Arts,confirmed
ART0027,Literary_Arts,sub_root,2,Major category of literary arts,-40000,Archaeological,Global,Various,Major art form category,confirmed
