source_id,target_id,relationship_type,strength,description,time_period
ART0019,ART0008,BELONGS_TO,1.0,Cave_Paintings belongs to Art,-40000
ART0003,ART0001,BELONGS_TO,1.0,Visual Arts belongs to Art,-40000
ART0004,ART0003,BELONGS_TO,1.0,Paintings belongs to Visual Arts,-40000
ART0005,ART0003,BELONGS_TO,1.0,Sculpture belongs to Visual Arts,-35000
ART0006,ART0003,BELONGS_TO,1.0,Drawing belongs to Visual Arts,-40000
ART0007,ART0003,BELONGS_TO,1.0,Printmaking belongs to Visual Arts,200
ART0008,ART0003,BELONGS_TO,1.0,Photography belongs to Visual Arts,1826
ART0009,ART0003,BELONGS_TO,1.0,Digital Art belongs to Visual Arts,1960
ART0010,ART0003,BELONGS_TO,1.0,Mixed Media belongs to Visual Arts,-5000
ART0011,ART0003,BELONGS_TO,1.0,Installation Art belongs to Visual Arts,1950
ART0012,ART0003,BELONGS_TO,1.0,Video Art belongs to Visual Arts,1960
ART0012,ART0008,BELONGS_TO,1.0,Architecture belongs to Art,-40000
ART0014,ART0013,BELONGS_TO,1.0,Classical Architecture belongs to Architecture,-10000
ART0015,ART0013,BELONGS_TO,1.0,Gothic Architecture belongs to Architecture,-10000
ART0016,ART0013,BELONGS_TO,1.0,Renaissance Architecture belongs to Architecture,-10000
ART0017,ART0013,BELONGS_TO,1.0,Modern Architecture belongs to Architecture,-10000
ART0018,ART0013,BELONGS_TO,1.0,Postmodern Architecture belongs to Architecture,-10000
ART0019,ART0013,BELONGS_TO,1.0,Sustainable Architecture belongs to Architecture,-10000
ART0020,ART0013,BELONGS_TO,1.0,Landscape Architecture belongs to Architecture,-10000
ART0021,ART0001,BELONGS_TO,1.0,Performing Arts belongs to Art,-40000
ART0022,ART0021,BELONGS_TO,1.0,Music belongs to Performing Arts,-40000
ART0023,ART0021,BELONGS_TO,1.0,Dance belongs to Performing Arts,-30000
ART0024,ART0021,BELONGS_TO,1.0,Theatre belongs to Performing Arts,-2500
ART0025,ART0021,BELONGS_TO,1.0,Performance Art belongs to Performing Arts,1950
ART0026,ART0021,BELONGS_TO,1.0,Circus Arts belongs to Performing Arts,-5000
ART0027,ART0001,BELONGS_TO,1.0,Literary Arts belongs to Art,-40000
ART0028,ART0027,BELONGS_TO,1.0,Poetry belongs to Literary Arts,-5000
ART0029,ART0027,BELONGS_TO,1.0,Prose belongs to Literary Arts,-5000
ART0030,ART0027,BELONGS_TO,1.0,Playwriting belongs to Literary Arts,-5000
ART0031,ART0027,BELONGS_TO,1.0,Screenwriting belongs to Literary Arts,-5000
ART0032,ART0001,BELONGS_TO,1.0,Applied Arts belongs to Art,-40000
ART0033,ART0032,BELONGS_TO,1.0,Graphic Design belongs to Applied Arts,-5000
ART0034,ART0032,BELONGS_TO,1.0,Fashion Design belongs to Applied Arts,-5000
ART0035,ART0032,BELONGS_TO,1.0,Industrial Design belongs to Applied Arts,-5000
