concept_id,name,type,level,description,earliest_evidence_date,earliest_evidence_type,location,language,properties,research_status
LANG0001,Language_Structure,sub_root,2,Major linguistic category: Language Structure,-100000,Inferred,Global,Various,Language category group,confirmed
LANG0002,Grammar,branch,3,"The study of rules governing sentence structure, including syntax, morphology, and phonology.",-50000,Historical/Linguistic,Global,Various,Subcategory of Language Structure,confirmed
LANG0003,Syntax,branch,3,The study of how words combine to form sentences and the rules governing sentence structure.,-10000,Historical/Linguistic,Global,Various,Subcategory of Language Structure,confirmed
LANG0004,Semantics,branch,3,"The study of meaning in language, including how words and sentences convey meaning.",-400,Historical/Linguistic,Global,Various,Subcategory of Language Structure,confirmed
LANG0005,Phonetics,branch,3,"The study of the physical sounds of human speech, including their production and acoustic properties.",-50000,Historical/Linguistic,Global,Various,Subcategory of Language Structure,confirmed
LANG0006,Phonology,branch,3,The study of how sounds function and pattern within a particular language or across languages.,-10000,Historical/Linguistic,Global,Various,Subcategory of Language Structure,confirmed
LANG0007,Morphology,branch,3,"The study of the structure and formation of words, including inflection, derivation, and compounding.",-10000,Historical/Linguistic,Global,Various,Subcategory of Language Structure,confirmed
LANG0008,Language,root,1,System of communication through symbols,-100000,Inferred from fossils,Global,Various,Root concept of human communication,speculative
LANG0009,Language_in_Context,sub_root,2,Major linguistic category: Language in Context,-100000,Inferred,Global,Various,Language category group,confirmed
LANG0010,Pragmatics,branch,3,The study of how context influences the interpretation of meaning in communication.,-400,Historical/Linguistic,Global,Various,Subcategory of Language in Context,confirmed
LANG0011,Sociolinguistics,branch,3,The study of how language varies and changes in different social groups and contexts.,-10000,Historical/Linguistic,Global,Various,Subcategory of Language in Context,confirmed
LANG0012,Discourse_Analysis,branch,3,"The study of language use beyond the sentence level, such as conversations and written texts.",-10000,Historical/Linguistic,Global,Various,Subcategory of Language in Context,confirmed
LANG0013,Stylistics,branch,3,"The study of linguistic style, especially in literary texts, but also in other communication forms.",-10000,Historical/Linguistic,Global,Various,Subcategory of Language in Context,confirmed
LANG0014,Language_History_&_Evolution,sub_root,2,Major linguistic category: Language History & Evolution,-100000,Inferred,Global,Various,Language category group,confirmed
LANG0015,Historical_Linguistics,branch,3,"The study of how languages change over time, including reconstructing earlier language forms.",-10000,Historical/Linguistic,Global,Various,Subcategory of Language History & Evolution,confirmed
