source_id,target_id,relationship_type,strength,description,time_period
LANG0019,LANG0008,BELONGS_TO,1.0,Written_Language belongs to Language,-3100
LANG0008,LANG0008,BELONGS_TO,1.0,Language Structure belongs to Language,-100000
LANG0002,LANG0008,BELONGS_TO,1.0,Grammar belongs to Language Structure,-50000
LANG0003,LANG0008,BELONGS_TO,1.0,Syntax belongs to Language Structure,-10000
LANG0004,LANG0008,BELONGS_TO,1.0,Semantics belongs to Language Structure,-400
LANG0005,LANG0008,BELONGS_TO,1.0,Phonetics belongs to Language Structure,-50000
LANG0006,LANG0008,BELONGS_TO,1.0,Phonology belongs to Language Structure,-10000
LANG0007,LANG0008,BELONGS_TO,1.0,Morphology belongs to Language Structure,-10000
LANG0008,LANG0008,BELONGS_TO,1.0,Language in Context belongs to Language,-100000
LANG0010,LANG0008,BELONGS_TO,1.0,Pragmatics belongs to Language in Context,-400
LANG0011,LANG0008,BELONGS_TO,1.0,Sociolinguistics belongs to Language in Context,-10000
LANG0013,LANG0010,BELONGS_TO,1.0,Discourse Analysis belongs to Language in Context,-10000
LANG0013,LANG0008,BELONGS_TO,1.0,Stylistics belongs to Language in Context,-10000
LANG0008,LANG0008,BELONGS_TO,1.0,Language History & Evolution belongs to Language,-100000
LANG0016,LANG0015,BELONGS_TO,1.0,Historical Linguistics belongs to Language History & Evolution,-10000
LANG0016,LANG0008,BELONGS_TO,1.0,Etymology belongs to Language History & Evolution,-3000
LANG0018,LANG0015,BELONGS_TO,1.0,Comparative Linguistics belongs to Language History & Evolution,-10000
LANG0008,LANG0008,BELONGS_TO,1.0,Language Acquisition & Development belongs to Language,-100000
LANG0008,LANG0008,BELONGS_TO,1.0,Language Acquisition belongs to Language Acquisition & Development,-10000
LANG0021,LANG0008,BELONGS_TO,1.0,Psycholinguistics belongs to Language Acquisition & Development,-10000
LANG0008,LANG0008,BELONGS_TO,1.0,Language Development belongs to Language Acquisition & Development,-10000
LANG0023,LANG0001,BELONGS_TO,1.0,Applied Language Studies belongs to Language,-100000
LANG0024,LANG0023,BELONGS_TO,1.0,Applied Linguistics belongs to Applied Language Studies,1940
LANG0025,LANG0023,BELONGS_TO,1.0,Computational Linguistics belongs to Applied Language Studies,1950
LANG0026,LANG0023,BELONGS_TO,1.0,Forensic Linguistics belongs to Applied Language Studies,-10000
LANG0027,LANG0023,BELONGS_TO,1.0,Translation Studies belongs to Applied Language Studies,-2000
LANG0028,LANG0001,BELONGS_TO,1.0,Specific Languages & Language Families belongs to Language,-100000
LANG0029,LANG0028,BELONGS_TO,1.0,Language-Specific Studies belongs to Specific Languages & Language Families,-10000
