source_id,target_id,relationship_type,strength,description,time_period
MATH002,MATH001,BELONGS_TO,1.0,Early Arithmetic belongs to Mathematics,-20000
MATH003,MATH002,BELONGS_TO,1.0,Tally Systems belong to Early Arithmetic,-20000
MATH_PERS002,MATH005,DEVELOPED,1.0,Euclid developed systematic geometry,-300
MATH0006,MATH0001,BELONGS_TO,1.0,Pure Mathematics belongs to Mathematics,-3000
MATH0007,MATH0006,BELONGS_TO,1.0,Group Theory belongs to Pure Mathematics,-1000
MATH0008,MATH0006,BELONGS_TO,1.0,Ring Theory belongs to Pure Mathematics,-1000
MATH0009,MATH0006,BELONGS_TO,1.0,Field Theory belongs to Pure Mathematics,-1000
MATH0010,MATH0006,BELONGS_TO,1.0,Linear Algebra belongs to Pure Mathematics,-1800
MATH0011,MATH0006,BELONGS_TO,1.0,Abstract Algebra belongs to Pure Mathematics,-1800
MATH0012,MATH0006,BELONGS_TO,1.0,Calculus belongs to Pure Mathematics,1665
MATH0013,MATH0006,BELONGS_TO,1.0,Real Analysis belongs to Pure Mathematics,1821
MATH0014,MATH0006,BELONGS_TO,1.0,Complex Analysis belongs to Pure Mathematics,1821
MATH0015,MATH0006,BELONGS_TO,1.0,Functional Analysis belongs to Pure Mathematics,1821
MATH0016,MATH0006,BELONGS_TO,1.0,Harmonic Analysis belongs to Pure Mathematics,1821
MATH0017,MATH0006,BELONGS_TO,1.0,Euclidean Geometry belongs to Pure Mathematics,-3000
MATH0018,MATH0006,BELONGS_TO,1.0,Differential Geometry belongs to Pure Mathematics,-3000
MATH0019,MATH0006,BELONGS_TO,1.0,Algebraic Geometry belongs to Pure Mathematics,-3000
MATH0020,MATH0006,BELONGS_TO,1.0,Topology belongs to Pure Mathematics,1736
MATH0021,MATH0006,BELONGS_TO,1.0,Manifold Theory belongs to Pure Mathematics,-1000
MATH0022,MATH0006,BELONGS_TO,1.0,Analytic Number Theory belongs to Pure Mathematics,-500
MATH0023,MATH0006,BELONGS_TO,1.0,Algebraic Number Theory belongs to Pure Mathematics,-1800
MATH0024,MATH0006,BELONGS_TO,1.0,Arithmetic Geometry belongs to Pure Mathematics,-20000
MATH0025,MATH0006,BELONGS_TO,1.0,General Topology belongs to Pure Mathematics,1736
MATH0026,MATH0006,BELONGS_TO,1.0,Algebraic Topology belongs to Pure Mathematics,-1800
MATH0027,MATH0006,BELONGS_TO,1.0,Differential Topology belongs to Pure Mathematics,1736
MATH0028,MATH0001,BELONGS_TO,1.0,Applied Mathematics belongs to Mathematics,-1000
MATH0029,MATH0028,BELONGS_TO,1.0,Probability Theory belongs to Applied Mathematics,-1000
MATH0030,MATH0028,BELONGS_TO,1.0,Statistical Inference belongs to Applied Mathematics,-1000
MATH0031,MATH0028,BELONGS_TO,1.0,Data Analysis belongs to Applied Mathematics,1821
MATH0032,MATH0028,BELONGS_TO,1.0,Biostatistics belongs to Applied Mathematics,1663
MATH0033,MATH0028,BELONGS_TO,1.0,Econometrics belongs to Applied Mathematics,-1000
MATH0034,MATH0028,BELONGS_TO,1.0,Quantum Mechanics belongs to Applied Mathematics,-1000
MATH0035,MATH0028,BELONGS_TO,1.0,Relativity belongs to Applied Mathematics,-1000
MATH0036,MATH0028,BELONGS_TO,1.0,Statistical Mechanics belongs to Applied Mathematics,-1000
MATH0037,MATH0028,BELONGS_TO,1.0,Optimization belongs to Applied Mathematics,-1000
MATH0038,MATH0028,BELONGS_TO,1.0,Linear Programming belongs to Applied Mathematics,-1000
MATH0039,MATH0028,BELONGS_TO,1.0,Queueing Theory belongs to Applied Mathematics,-1000
MATH0040,MATH0028,BELONGS_TO,1.0,Decision Theory belongs to Applied Mathematics,-1000
MATH0041,MATH0028,BELONGS_TO,1.0,Numerical Methods belongs to Applied Mathematics,-1000
MATH0042,MATH0028,BELONGS_TO,1.0,Computational Linear Algebra belongs to Applied Mathematics,-1800
MATH0043,MATH0028,BELONGS_TO,1.0,Finite Element Methods belongs to Applied Mathematics,-1000
MATH0044,MATH0028,BELONGS_TO,1.0,Population Dynamics belongs to Applied Mathematics,-1000
MATH0045,MATH0028,BELONGS_TO,1.0,Epidemiology belongs to Applied Mathematics,-1000
MATH0046,MATH0028,BELONGS_TO,1.0,Systems Biology belongs to Applied Mathematics,-1000
MATH0045,MATH0005,BELONGS_TO,1.0,Interdisciplinary belongs to Mathematics,-300
MATH0048,MATH0047,BELONGS_TO,1.0,Set Theory belongs to Interdisciplinary,-1000
MATH0049,MATH0047,BELONGS_TO,1.0,Model Theory belongs to Interdisciplinary,-1000
MATH0050,MATH0047,BELONGS_TO,1.0,Proof Theory belongs to Interdisciplinary,-1000
MATH0051,MATH0047,BELONGS_TO,1.0,Computability Theory belongs to Interdisciplinary,-1000
MATH0052,MATH0047,BELONGS_TO,1.0,Enumerative Combinatorics belongs to Interdisciplinary,-300
MATH0053,MATH0047,BELONGS_TO,1.0,Graph Theory belongs to Interdisciplinary,-1000
